rank, title, artist, gender, year, critic_name, critic_rols, critic_country, critic_country2
1, Terminator X To The Edge of Panic, Public Enemy, male, 1998, Joseph Abajian, Fat Beats, US, 
2, 4th Chamber, Gza ft. Ghostface Killah & Killah Priest & RZA, male, 1995, Joseph Abajian, Fat Beats, US, 
3, Peter Piper, Run DMC, male, 1986, Joseph Abajian, Fat Beats, US, 
4, Play That Beat Mr DJ, GLOBE & Whiz Kid, male, 2001, Joseph Abajian, Fat Beats, US, 
5, Time’s Up, O.C., male, 1994, Joseph Abajian, Fat Beats, US, 
1, Players, Slum Village, male, 1997, Biba Adams, Critic, US, 
2, Self Destruction, Stop The Violence Movement, mixed, 1989, Biba Adams, Critic, US, 
3, Push It, Salt-N-Pepa, female, 1986, Biba Adams, Critic, US, 
4, Ambitionz Az A Ridah, 2Pac, male, 1996, Biba Adams, Critic, US, 
5, Big Pimpin', JAY-Z ft. UGK, male, 1999, Biba Adams, Critic, US, 
1, Rapper’s Delight, Sugarhill Gang, male, 1979, Dart Adams, Critic, US, 
2, Sucker MCs, Run DMC, male, 1984, Dart Adams, Critic, US, 
3, Lyrics Of Fury, Eric B & Rakim, male, 1988, Dart Adams, Critic, US, 
4, Rebel Without A Pause, Public Enemy, male, 1988, Dart Adams, Critic, US, 
5, The Message, Grandmaster Flash & The Furious Five, male, 1982, Dart Adams, Critic, US, 
1, Juicy, The Notorious B.I.G., male, 1994, Insanul Ahmed, Genius, US, 
2, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Insanul Ahmed, Genius, US, 
3, The Message, Grandmaster Flash & The Furious Five, male, 1982, Insanul Ahmed, Genius, US, 
4, In Da Club, 50 Cent, male, 2003, Insanul Ahmed, Genius, US, 
5, m.A.A.d. city, Kendrick Lamar, male, 2012, Insanul Ahmed, Genius, US, 
1, In Da Club, 50 Cent, male, 2003, Joey Akan, Critic, Nigeria, 
2, Lose Yourself, Eminem, male, 2002, Joey Akan, Critic, Nigeria, 
3, Dear Mama, 2Pac, male, 1995, Joey Akan, Critic, Nigeria, 
4, Jesus Walks, Kanye West, male, 2004, Joey Akan, Critic, Nigeria, 
5, Fuck Tha Police, NWA, male, 1988, Joey Akan, Critic, Nigeria, 
1, The Message, Grandmaster Flash & The Furious Five, male, 1982, Antonio ‘Rolo’ Alarcon, Critic, US, 
2, Rapper’s Delight, Sugarhill Gang, male, 1979, Antonio ‘Rolo’ Alarcon, Critic, US, 
3, Fight The Power, Public Enemy, male, 1989, Antonio ‘Rolo’ Alarcon, Critic, US, 
4, Lose Yourself, Eminem, male, 2002, Antonio ‘Rolo’ Alarcon, Critic, US, 
5, Insane In The Brain, Cypress Hill, male, 1993, Antonio ‘Rolo’ Alarcon, Critic, US, 
1, Fight The Power, Public Enemy, male, 1989, Ivie Ani, Critic, US, 
2, Juicy, The Notorious B.I.G., male, 1994, Ivie Ani, Critic, US, 
3, Ready Or Not, The Fugees, mixed, 1996, Ivie Ani, Critic, US, 
4, Party Up (Up In Here), DMX, male, 1999, Ivie Ani, Critic, US, 
5, Monster, Kanye West, male, 2010, Ivie Ani, Critic, US, 
1, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Andrew Barber, Fake Shore Drive, US, 
2, Hard Knock Life, JAY-Z, male, 1998, Andrew Barber, Fake Shore Drive, US, 
3, Juicy, The Notorious B.I.G., male, 1994, Andrew Barber, Fake Shore Drive, US, 
4, C.R.E.A.M., Wu-Tang Clan, male, 1993, Andrew Barber, Fake Shore Drive, US, 
5, I Get Around, 2Pac, male, 1993, Andrew Barber, Fake Shore Drive, US, 
1, The Message, Grandmaster Flash & The Furious Five, male, 1982, Fionn Birr, Critic, Germany, 
2, Hip Hop, Mos Def, male, 1999, Fionn Birr, Critic, Germany, 
3, California Love, 2Pac ft. Dr Dre, male, 1996, Fionn Birr, Critic, Germany, 
4, Blood On The Leaves, Kanye West, male, 2013, Fionn Birr, Critic, Germany, 
5, HYFR, Drake ft. Lil Wayne, male, 2011, Fionn Birr, Critic, Germany, 
1, We Got It For Cheap (Intro), Clipse, male, 2006, Davide Bortot, Critic, Germany, 
2, Fuck You, The LOX, male, 2000, Davide Bortot, Critic, Germany, 
3, Can’t Tell Me Nothing, Kanye West, male, 2007, Davide Bortot, Critic, Germany, 
4, Ojuelegba (Remix), Wizkid ft. Drake & Skepta, male, 2015, Davide Bortot, Critic, Germany, 
5, March Madness, Future, male, 2015, Davide Bortot, Critic, Germany, 
1, Shook Ones (Part II), Mobb Deep, male, 1995, Julian Brimmers, Critic, Germany, 
2, Rosa Parks, OutKast, male, 1998, Julian Brimmers, Critic, Germany, 
3, Get Ur Freak On, Missy Elliott, female, 2001, Julian Brimmers, Critic, Germany, 
4, Grindin’, Clipse, male, 2002, Julian Brimmers, Critic, Germany, 
5, Dipset Anthem, Diplomats ft. Juelz Santana & Cam’ron, male, 2003, Julian Brimmers, Critic, Germany, 
1, Shook Ones (Part II), Mobb Deep, male, 1995, Harley Brown, Critic, US, 
2, Juicy, The Notorious B.I.G., male, 1994, Harley Brown, Critic, US, 
3, Fuck Tha Police, NWA, male, 1988, Harley Brown, Critic, US, 
4, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Harley Brown, Critic, US, 
5, The Message, Grandmaster Flash & The Furious Five, male, 1982, Harley Brown, Critic, US, 
1, I Love The Dough, The Notorious B.I.G. ft. JAY-Z & Angela Winbush, mixed, 1997, Lawrence Burney, Critic, US, 
2, We Can Get Gangsta, Project Pat, male, 2001, Lawrence Burney, Critic, US, 
3, What About Me, Lil Boosie, male, 2007, Lawrence Burney, Critic, US, 
4, Boyz-n-the-Hood, Eazy-E, male, 1988, Lawrence Burney, Critic, US, 
5, Fuck Tha World, Lil Wayne, male, 1999, Lawrence Burney, Critic, US, 
1, B.O.B., OutKast, male, 2000, J. Zoe Camp, Bandcamp, US, 
2, Stan, Eminem ft. Dido, mixed, 2000, J. Zoe Camp, Bandcamp, US, 
3, It Was A Good Day, Ice Cube, male, 1992, J. Zoe Camp, Bandcamp, US, 
4, C.R.E.A.M., Wu-Tang Clan, male, 1993, J. Zoe Camp, Bandcamp, US, 
5, Passin’ Me By, The Pharcyde, male, 1992, J. Zoe Camp, Bandcamp, US, 
1, Juicy, The Notorious B.I.G., male, 1994, Paul Cantor, Critic, US, 
2, C.R.E.A.M., Wu-Tang Clan, male, 1993, Paul Cantor, Critic, US, 
3, Nuthin’ But A ‘G’ Thang, Dr Dre ft. Snoop Doggy Dogg, male, 1992, Paul Cantor, Critic, US, 
4, Love Yourz, J Cole, male, 2014, Paul Cantor, Critic, US, 
5, Paid In Full (Seven Minutes Of Madness – The Coldcut Remix), Eric B & Rakim, male, 1987, Paul Cantor, Critic, US, 
1, As The Rhyme Goes On, Eric B & Rakim, male, 1987, Rodney Carmichael, NPR, US, 
2, Liberation, OutKast, male, 1998, Rodney Carmichael, NPR, US, 
3, God Lives Through, A Tribe Called Quest, male, 1993, Rodney Carmichael, NPR, US, 
4, Black Steel In The Hour Of Chaos, Public Enemy, male, 1988, Rodney Carmichael, NPR, US, 
5, Mind Playing Tricks On Me, Geto Boys, male, 1991, Rodney Carmichael, NPR, US, 
1, Nutmeg, Ghostface Killah, male, 2000, Nick Catchdubs, Producer and DJ, US, 
2, B.O.B., OutKast, male, 2000, Nick Catchdubs, Producer and DJ, US, 
3, Grindin’, Clipse, male, 2002, Nick Catchdubs, Producer and DJ, US, 
4, Work It, Missy Elliott, female, 2002, Nick Catchdubs, Producer and DJ, US, 
5, Rebel Without A Pause, Public Enemy, male, 1988, Nick Catchdubs, Producer and DJ, US, 
1, Mural, Lupe Fiasco, male, 2015, D.L. Chandler, HipHopWired, US, 
2, How We Roll, Canibus, male, 1998, D.L. Chandler, HipHopWired, US, 
3, Get The Bozack, EPMD, male, 1989, D.L. Chandler, HipHopWired, US, 
4, Hovi Baby, JAY-Z, male, 2002, D.L. Chandler, HipHopWired, US, 
5, Mortal Man, Kendrick Lamar, male, 2015, D.L. Chandler, HipHopWired, US, 
1, Double Trouble At The Amphitheatre, Double Trouble, male, 1983, Jeff Chang, Author, US, 
2, Black Steel In The Hour Of Chaos, Public Enemy, male, 1988, Jeff Chang, Author, US, 
3, I Am I Be, De La Soul, male, 1993, Jeff Chang, Author, US, 
4, Get By, Talib Kweli, male, 2002, Jeff Chang, Author, US, 
5, Alright, Kendrick Lamar, male, 2015, Jeff Chang, Author, US, 
1, Juicy, The Notorious B.I.G., male, 1994, Georgette Cline, XXL, US, 
2, Changes, 2Pac ft. Talent, male, 1998, Georgette Cline, XXL, US, 
3, Ready Or Not, The Fugees, mixed, 1996, Georgette Cline, XXL, US, 
